FILE,DS_TCC,DS_CYCLO,DS_CM,DS_NOAM,DS_NOPA,DS_CC,DS_LOCM,DS_NOAV,DS_WMC,DS_ATFD,DS_LOCC,DS_MAXNESTING,DS_WOC
FILE:test/minicorlib/System/DBNull.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/TimeZoneController.cs_new.cs,4.9E-324,1.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,9.0,3.0,1.0,4.9E-324,9.0,4.9E-324,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/ProductController.cs_new.cs,4.9E-324,4.0,1.0,1.0,4.9E-324,1.0,27.0,7.0,14.0,2.0,78.0,2.0,2.6666666666666665
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Utils/XMLTree.cs_new.cs,4.9E-324,2.0,2.0,5.0,2.0,2.0,16.0,9.0,7.0,3.0,56.0,1.0,0.2857142857142857
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Properties/AssemblyInfo.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/JobFunctionController.cs_new.cs,4.9E-324,4.0,2.0,1.0,4.9E-324,1.0,28.0,8.0,15.0,3.0,91.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/TimeZoneModel.cs_new.cs,4.9E-324,1.0,4.9E-324,2.0,1.0,4.9E-324,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Controls/ucItemViewEdit.ascx.cs_new.cs,0.07272727272727272,5.0,1.0,8.0,4.0,4.9E-324,28.0,9.0,18.0,4.0,93.0,3.0,0.2
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/EmailTemplateController.cs_new.cs,4.9E-324,9.0,1.0,4.9E-324,4.9E-324,1.0,29.0,9.0,19.0,4.0,81.0,2.0,4.0
FILE:test/minicorlib/System/String.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CaseEmailModel.cs_new.cs,4.9E-324,1.0,3.0,20.0,10.0,2.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.09090909090909091
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/BusinessSizeModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:test/minicorlib/DataTable.cs,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/LimitationController.cs_new.cs,4.9E-324,4.0,2.0,1.0,4.9E-324,1.0,28.0,8.0,15.0,3.0,91.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Handlers/SetCaseItems.ashx.cs_new.cs,1.0,3.0,1.0,1.0,4.9E-324,4.9E-324,25.0,7.0,4.0,4.9E-324,31.0,4.9E-324,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/LanguageModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Handlers/GetItems.ashx.cs_new.cs,0.16666666666666666,13.0,4.0,1.0,4.9E-324,4.9E-324,74.0,7.0,16.0,4.9E-324,92.0,8.0,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CaseTypeController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,1.0,16.0,6.0,10.0,2.0,65.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/BusinessSizeController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,14.0,4.0,8.0,4.9E-324,51.0,2.0,4.0
